model,rouge1,rouge2,rougeL,rougeLsum,mean_latency_sec,gpu_memory_gb,train_runtime_sec,train_loss,bertscore_precision,bertscore_recall,bertscore_f1,peak_training_gpu_memory_gb
baseline,0.278116737250887,0.06295496137551737,0.147608852986246,0.18286019961946787,8.670415215155009,3.11344128,,,,,,
lora,0.3903158858826631,0.22457196816995653,0.29905023685406673,0.3003532330097154,8.35953384894501,3.130937856,12514.6912,1.0618028730020612,0.89056008040905,0.8658951157331467,0.8776360923051834,
qlora,0.37103608660605336,0.18895961612194095,0.2693201648000306,0.2697184240135255,8.106325220534991,4.33706496,10977.7214,1.0870005157743958,0.8815515017509461,0.8641703537106514,0.8724115437269211,7.47
